full_path,is_directory,name,id,Franchise Name,PRIMARYKEY,,,,,Date Last Mod,Size,Folder
C:\Users\mille\MinerU\Advanced_Laser_Restoration_LLC_FDD_2024_ID635320.pdf-702d5269-624d-4035-b8e9-23a2c16b990a\eb098516-0fa3-464b-a9c4-4c573e3e56aa_content_list.json,FALSE,eb098516-0fa3-464b-a9c4-4c573e3e56aa_content_list.json,635320,Advanced Laser Restoration LLC,34,,,,,3/30/2025 17:23,335081,Advanced_Laser_Restoration_LLC_FDD_2024_ID635320.pdf-702d5269-624d-4035-b8e9-23a2c16b990a
C:\Users\mille\MinerU\Advanced_Mobile_IV_LLC_FDD_2024_ID635321.pdf-ea46a495-5b57-4354-84e3-e9ba7d7114c5\07253f04-0ffc-4ba9-b86e-29553b4a32a2_content_list.json,FALSE,07253f04-0ffc-4ba9-b86e-29553b4a32a2_content_list.json,635321,Advanced Mobile IV LLC,35,,,,,3/30/2025 17:25,691452,Advanced_Mobile_IV_LLC_FDD_2024_ID635321.pdf-ea46a495-5b57-4354-84e3-e9ba7d7114c5
C:\Users\mille\MinerU\AdvantaClean_Systems_LLC_FDD_2024_ID635453.pdf-9004a87b-440f-489b-b1d3-7a781851d594\ea7cbc95-d4eb-44cc-94b4-3ad24fdf79dc_content_list.json,FALSE,ea7cbc95-d4eb-44cc-94b4-3ad24fdf79dc_content_list.json,635453,AdvantaClean Systems LLC,36,,,,,3/30/2025 17:26,798723,AdvantaClean_Systems_LLC_FDD_2024_ID635453.pdf-9004a87b-440f-489b-b1d3-7a781851d594
C:\Users\mille\MinerU\Aerus_Franchising_LLC_FDD_2024_ID636853.pdf-03623c76-bffa-4ce8-9ed6-a90195f47400\6d72d496-e562-4ee5-bbe9-078373d77bb6_content_list.json,FALSE,6d72d496-e562-4ee5-bbe9-078373d77bb6_content_list.json,636853,Aerus Franchising LLC,37,,,,,3/30/2025 17:27,939561,Aerus_Franchising_LLC_FDD_2024_ID636853.pdf-03623c76-bffa-4ce8-9ed6-a90195f47400
C:\Users\mille\MinerU\AFC_Franchising_LLC_FDD_2024_ID635415.pdf-1b6a293a-30de-4a23-9820-c5521a249201\308a94c6-a8ae-4492-9bb6-fb6cf4575e27_content_list.json,FALSE,308a94c6-a8ae-4492-9bb6-fb6cf4575e27_content_list.json,635415,AFC Franchising LLC,38,,,,,3/30/2025 17:32,969652,AFC_Franchising_LLC_FDD_2024_ID635415.pdf-1b6a293a-30de-4a23-9820-c5521a249201
C:\Users\mille\MinerU\Agile_Pursuits_Franchising_Inc_FDD_2024_ID637400.pdf-2a309e6a-d919-4540-9b44-658be3e3ec30\39152bcb-e14c-4d84-a265-671081bc76ad_content_list.json,FALSE,39152bcb-e14c-4d84-a265-671081bc76ad_content_list.json,637400,Agile Pursuits Franchising Inc,39,,,,,3/30/2025 17:34,739109,Agile_Pursuits_Franchising_Inc_FDD_2024_ID637400.pdf-2a309e6a-d919-4540-9b44-658be3e3ec30
C:\Users\mille\MinerU\Aire-Master_of_America_Inc_FDD_2024_ID637045.pdf-039400b9-aaf4-474e-838d-a4bb2114ac64\cceec849-1d6c-42fa-a01e-336281d895d2_content_list.json,FALSE,cceec849-1d6c-42fa-a01e-336281d895d2_content_list.json,637045,Aire-Master of America Inc,40,,,,,3/30/2025 17:43,590905,Aire-Master_of_America_Inc_FDD_2024_ID637045.pdf-039400b9-aaf4-474e-838d-a4bb2114ac64
C:\Users\mille\MinerU\Alair_Enterprises_USA_Inc_FDD_2025_ID637596.pdf-115e6409-102e-4045-addb-d14bed0a9817\6f50ea09-5daf-4afa-9fe0-429db4aeabc2_content_list.json,FALSE,6f50ea09-5daf-4afa-9fe0-429db4aeabc2_content_list.json,637596,Alair Enterprises USA Inc,41,,,,,3/30/2025 17:36,567375,Alair_Enterprises_USA_Inc_FDD_2025_ID637596.pdf-115e6409-102e-4045-addb-d14bed0a9817
C:\Users\mille\MinerU\Alliance_Franchise_Brands_LLC_FDD_2024_ID.pdf-71ec2fcd-2faa-4daa-b44c-3e0618e48f33\d23ef2a4-e472-4f93-aa55-26856c9ba745_content_list.json,FALSE,d23ef2a4-e472-4f93-aa55-26856c9ba745_content_list.json,,Alliance Franchise Brands LLC,42,,,,,3/30/2025 17:35,682311,Alliance_Franchise_Brands_LLC_FDD_2024_ID.pdf-71ec2fcd-2faa-4daa-b44c-3e0618e48f33
C:\Users\mille\MinerU\Alloy_Personal_Training_LLC_FDD_2024_ID635975.pdf-5547bee8-c134-4213-9136-356764c68df8\e1dcf469-0870-4df8-9201-3ac45a0fd5f4_content_list.json,FALSE,e1dcf469-0870-4df8-9201-3ac45a0fd5f4_content_list.json,635975,Alloy Personal Training LLC,43,,,,,3/30/2025 17:38,745435,Alloy_Personal_Training_LLC_FDD_2024_ID635975.pdf-5547bee8-c134-4213-9136-356764c68df8
